,Reactor Volume (L),0.41,membrane surface area,0.1451,m2,Unnamed: 5,Reactor body (L),0.155,Correction,0.011,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,98.9546,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,0.3164351879237923,Unnamed: 22,0.4295808141706501,Unnamed: 24,0.4750679682390584,CH4 Prod Rate (m3CH4/m3rv.d),Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
52,MBfR_46,,,2024-09-09 10:07:00,2024-09-10 11:18:00,,118.9416666666657,11216.1,11677.5,456.32459999999963,0.30200172071457204,1.1327,0.941,1.0351,90.112,92.7596,92.8628,8.7553,6.2994,6.1022,1.0362666666666667,0.09585532501292425,91.91146666666667,1.5592378822146868,7.0523,1.4781335223855767,0.9748947893877085,2.5787539590255513,0.0027546992670500372,0.27757421086733364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MBfR_47,,,2024-09-10 11:18:00,2024-09-13 12:41:00,14,121.99930555555329,11677.5,12940.8,1249.4036999999992,0.2846670539987536,0.5032,0.8422,0.7376,95.2629,95.0546,95.2857,4.2338,4.1033,3.9767,0.6943333333333334,0.17359220412602946,95.20106666666668,0.1273551072133932,4.1046000000000005,0.12855492989380038,0.9518262035896605,2.5177338288500697,0.002689515806145836,0.27100607185538944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MBfR_48,,,2024-09-13 12:41:00,2024-09-16 10:28:00,6,124.90694444444671,12940.8,14202.9,1248.2169000000004,0.29854506098972833,0.8962,0.7077,0.6587,96.9588,95.2522,97.0167,2.145,4.0401,2.3246,0.7542,0.1253923841387505,96.40923333333335,1.0024383788210272,2.8365666666666667,1.0461517114325865,1.0108975766214892,2.673987138160068,0.0028564300924521745,0.2878250044547295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MBfR_49,,,2024-09-16 10:28:00,2024-09-19 10:40:00,,127.9152777777781,14202.9,15242,1027.6699000000003,0.23722758541104874,4.017,3.9182,3.9116,95.3019,95.4368,95.2405,0.627,0.645,0.8479,3.948933333333333,0.05903976061378768,95.32639999999999,0.10041717980505489,0.7066333333333333,0.12267111857863425,0.7942496206101469,2.1009183512913565,0.0022442615055145434,0.22614051697927795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MBfR_50,,,2024-09-19 10:40:00,2024-09-23 09:55:00,14,131.8840277777781,15242,16968.5,1707.5085,0.29951034906156815,12.2375,11.6326,11.5214,87.7625,87.1142,86.706,0,1.2531,1.7726,11.797166666666667,0.385371824778789,87.19423333333333,0.532777686594825,1.0085666666666666,0.911249199359502,0.9172299604152289,2.4262211856144766,0.002591759364371081,0.2611557526182249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MBfR_51,,,2024-09-23 09:55:00,2024-09-26 13:27:00,22,135.03125,16968.5,18276.9,1294.0076000000015,0.2869196452328459,6.8832,6.1583,6.0459,93.1168,93.8417,92.0196,0,0.0,1.9345,6.362466666666666,0.4544566462637924,92.99270000000001,0.9173672710534234,0.6448333333333334,1.1168840957473312,0.93710397049444,2.4787911477594866,0.002647916112355068,0.2668143249324447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MBfR_52,,,2024-09-26 13:27:00,2024-09-30 10:27:00,15,138.90625,18276.9,19882.5,1587.9383999999986,0.2853438274932612,1.6547,1.6584,1.2592,96.2961,97.7471,98.0091,2.0491,0.5945,0.7317,1.5241,0.22941758868927314,97.35076666666667,0.9227146543397594,1.1251,0.8031425527264756,0.9756330276317289,2.58070671825167,0.002756785260709916,0.27778440370070057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,MBfR_53,,,2024-09-30 10:27:00,2024-10-03 10:51:00,18,141.9229166666628,19882.5,21030.4,1135.2731000000015,0.26243021266793065,1.0629,0.9418,0.9705,98.9371,97.8525,98.0113,0,1.2057,1.0182,0.9917333333333332,0.06328067108788694,98.26696666666668,0.5857588013280978,0.7413,0.648793749969896,0.9057326386149936,2.3958089150461124,0.002559272100841815,0.2578822096056579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MBfR_54,,,2024-10-03 10:51:00,2024-10-07 10:27:00,18,145.90625,21030.4,22676.4,1627.894,0.28469639734144964,1.1057,0.8473,0.9484,97.3074,97.8473,96.9583,1.587,1.2602,2.0933,0.9671333333333333,0.13021460491562933,97.371,0.4478995088186683,1.6468333333333334,0.4197605547610837,0.9736216825358386,2.5753863860625406,0.0027511019285988546,0.2772117290553429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,MBfR_55,,,2024-10-07 10:27:00,2024-10-08 16:27:00,,147.15625,22676.4,24422,1726.3983999999984,0.9591102222222213,34.1461,34.0494,33.7588,65.8539,65.8865,66.0748,0,0.0641,0.1665,33.984766666666665,0.20157733834271294,65.9384,0.11924516761697276,0.07686666666666668,0.08398097006663673,2.2211892343133637,5.8754037810869635,0.006276275575937142,0.6324219347697771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MBfR_56,,,2024-10-08 16:27:00,2024-10-09 17:15:00,,148.18958333333285,24422,25676.1,1240.3048999999985,0.8335382392477021,80.5317,79.9407,80.2903,19.4683,20.0593,19.7097,0,0.0,0.0,80.25423333333333,0.29714618175795476,19.74576666666667,0.2971461817579583,0,0,0.5780669823194682,1.5290804048450448,0.0016334077377738246,0.164588515799293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,MBfR_57,,,2024-10-09 17:15:00,2024-10-10 09:02:00,17,148.847222222219,25676.1,26011.5,331.7106000000014,0.3566780645176486,89.8272,89.7221,88.9135,10.1728,10.2779,11.0865,0,0.0,0.0,89.4876,0.4999546079395624,10.5124,0.49995460793956004,0,0,0.13169124826894812,0.3483445921952822,0.000372111728396063,0.03749542485435329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,MBfR_60,,,2024-10-15 11:41:00,2024-10-16 10:20:00,15,154.9013888888876,27160.8,27638.9,472.84090000000214,0.35181614583388343,22.8038,24.6192,24.6894,71.8534,71.6191,71.3749,5.3428,3.7617,3.9358,24.03746666666667,1.0689630925964346,71.6158,0.23926706835667808,4.3467666666666664,0.8669714547396201,0.8849184492928469,2.3407520271617246,0.002500458747140367,0.25195594736810223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,MBfR_61,,,2024-10-16 10:20:00,2024-10-17 08:48:00,16,155.83750000000146,27638.9,28232.4,586.9715,0.4406692942929848,25.8428,24.3652,25.8205,71.6051,72.0094,71.1532,2.5521,3.6254,3.0262,25.34283333333333,0.8467287188547059,71.58923333333333,0.428320468029878,3.0679,0.5378637280947655,1.1079984093181752,2.9308345020674316,0.003130801845764658,0.3154717693197582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,MBfR_62,,,2024-10-17 08:48:00,2024-10-18 11:19:00,,156.9423611111124,28232.4,28680.1,442.7752999999971,0.2783000000000389,23.7796,21.6857,22.2413,74.3687,73.9171,75.906,1.8518,4.3972,1.8527,22.568866666666665,1.0847023754621963,74.7306,1.042669415490836,2.7005666666666666,1.4693276364832095,0.7304496929561998,1.9321572523357537,0.002063986037987883,0.20797525980002907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,MBfR_63,,,2024-10-18 11:19:00,2024-10-21 10:55:00,19,159.92569444444234,28680.1,29926.5,1232.6896000000015,0.28821360766925663,19.2041,19.0583,17.1711,80.0601,80.2248,79.4952,0.7358,0.7169,3.3337,18.477833333333333,1.1340098823790445,79.9267,0.382656124999983,1.5954666666666668,1.505383885702691,0.8090679531897965,2.1401152310181715,0.002286132741611417,0.23035962556098372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,MBfR_64,,,2024-10-21 10:55:00,2024-10-22 13:05:00,,161.01597222222335,29926.5,30495.7,562.9388000000007,0.3585597452218669,8.6049,8.2071,7.861,89.7333,90.1393,90.1312,1.6618,1.6536,2.0078,8.224333333333334,0.37224930266332756,90.00126666666667,0.23210127818117474,1.7744,0.20217190704942173,1.1334145608226642,2.99806432217608,0.00320261867634247,0.32270831245645304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,MBfR_65,,,2024-10-22 13:05:00,2024-10-23 10:38:00,,161.91388888889196,30495.7,30879,379.0836999999993,0.2931815158539676,5.4662,5.0961,5.0193,92.0083,90.8295,90.7639,2.5255,4.0744,4.2168,5.1938666666666675,0.238953224153459,91.20056666666669,0.7002861510363719,3.605566666666667,0.9380711291439086,0.9391019841508977,2.484076216141084,0.0026535617746510547,0.2673832038207417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MBfR_66,,,2024-10-23 10:38:00,2024-10-24 11:24:00,13,162.9458333333314,30879,31294.8,411.22619999999927,0.27917596741480943,2.2485,2.6794,2.6153,94.0396,93.0035,94.0984,3.7119,4.3171,3.2863,2.5143999999999997,0.2324958279195564,93.71383333333331,0.6158688523811937,3.7717666666666667,0.5180011325598953,0.9188833199174707,2.4305945881687943,0.002596431158967354,0.2616265008098354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,MBfR_67,,,2024-10-24 11:24:00,2024-10-25 10:39:00,,163.9145833333314,31294.8,31726,426.4568000000007,0.30570379928315466,2.0118,1.9836,1.519,93.9838,93.7183,94.7401,4.0044,4.2981,3.741,1.8381333333333334,0.27673701113753,94.1474,0.5301816009632916,4.0145,0.2786872978806173,1.0108525301606943,2.6738679830057075,0.002856302807483698,0.28781217872630876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,MBfR_68,,,2024-10-25 10:39:00,2024-10-28 10:47:00,14,166.9201388888905,31726,32957.8,1218.250200000003,0.2823945757993872,1.3374,1.3688,1.3103,95.6461,95.7888,95.5044,3.0164,2.8424,3.1853,1.3388333333333333,0.02927632718312414,95.64643333333333,0.14220029301422707,3.0147,0.17145632096834446,0.9486450954576363,2.509319284758909,0.002680527147743838,0.27010033967891034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,MBfR_69,,,2024-10-28 10:47:00,2024-10-29 11:32:00,,167.9513888888905,32957.8,33889.8,921.748,0.620705723905724,9.542,9.9149,9.9198,88.8592,88.9006,88.8624,1.5988,1.1846,1.2178,9.792233333333334,0.21672227235181285,88.87406666666665,0.02303417750503176,1.3337333333333337,0.2301538905457235,1.9374898613893077,5.124973181739459,0.005474643991520442,0.551646418867789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,MBfR_70,,,2024-10-29 11:32:00,2024-10-30 10:41:00,,168.9159722222248,33889.8,34627.1,729.1896999999957,0.5249745860325863,37.2146,37.3586,36.9579,62.7393,62.6414,62.5935,0.0461,0.0,0.4487,37.177033333333334,0.20297429229666805,62.65806666666666,0.07431516220350637,0.16493333333333335,0.24682776045925894,1.1552976916660282,3.0559487327940102,0.003264452471282368,0.32893892609935527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,MBfR_71,,,2024-10-30 10:41:00,2024-10-31 11:47:00,13,169.96180555555475,34627.1,35436.4,800.3977000000028,0.5361002679187034,50.1922,49.7621,48.4181,49.8078,50.2379,51.5819,0,0.0,0.0,49.45746666666667,0.9254505947555112,50.54253333333333,0.9254505947555112,0,0,0.951659672006283,2.5172933259521026,0.002689045248260344,0.2709586566129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,MBfR_72,,,2024-10-31 11:47:00,2024-11-01 11:37:00,5,170.9548611111095,35436.4,35888.5,447.12689999999856,0.3137732631581501,52.9468,53.0394,53.3719,47.0532,46.9606,46.6281,0,0.0,0.0,53.11936666666666,0.22354754155063275,46.88063333333334,0.22354754155063275,0,0,0.5166400144362409,1.3665961672184435,0.0014598373943408595,0.14709889299920745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,MBfR_73,,,2024-11-01 11:37:00,2024-11-04 11:08:00,5,173.93472222222044,35888.5,37236.2,1332.8752999999972,0.31098350443305406,30.0232,29.612,29.9863,69.9768,70.388,70.0137,0,0.0,0.0,29.873833333333334,0.22750367762595322,70.12616666666666,0.2275036776259564,0,0,0.7659423592667621,2.02604107935079,0.0021642754465842347,0.2180808106245642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,MBfR_74,,,2024-11-04 11:08:00,2024-11-05 11:09:00,,174.93541666666715,37236.2,37741.3,499.54390000000575,0.3466647467028978,14.434,14.5951,14.756,84.8152,84.895,84.1761,0.7508,0.5099,1.0679,14.595033333333333,0.161000010351967,84.62876666666666,0.39404611828227765,0.7761999999999999,0.27986580712906023,1.0304011303122254,2.725577183406532,0.0029115400649759645,0.2933780996027864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,MBfR_75,,,2024-11-05 11:09:00,2024-11-06 10:26:00,,175.9055555555533,37741.3,38190.5,444.2587999999971,0.3180091624919512,12.2273,12.4099,12.5443,86.8235,86.4887,86.4816,0.9493,1.1015,0.9741,12.393833333333333,0.1591095639279216,86.59793333333333,0.19537871770828302,1.0083,0.08166051677524452,0.9672211757104564,2.5584560131695944,0.0027330164165491875,0.2753893625286716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,MBfR_76,,,2024-11-06 10:26:00,2024-11-07 11:31:00,12,176.9506944444438,38190.5,38664.9,469.1816000000014,0.3142542531810246,9.2923,9.0762,9.1587,88.7918,87.267,88.1442,1.9159,3.6568,2.6971,9.175733333333332,0.10905229632306342,88.06766666666665,0.7652756191943741,2.7566,0.8719738470848764,0.9720224365251072,2.5711561224212516,0.002746583039112984,0.2767563881772875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,MBfR_77,,,2024-11-07 11:31:00,2024-11-08 10:55:00,,177.92569444444234,38664.9,39132.3,462.2586000000014,0.3292440170945095,8.1836,7.96727,8.1887,88.7715,89.0983,88.5113,3.0449,2.939,3.3,8.113190000000001,0.1263961522357388,88.7937,0.29412901930954843,3.094633333333333,0.18556751691320678,1.0267830256630743,2.716006713044261,0.0029013166128315673,0.2923479448068475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,MBfR_78,,,2024-11-08 10:55:00,2024-11-11 10:12:00,11,180.89583333333576,39132.3,40432.5,1285.897799999997,0.3014293952175415,6.6307,6.7738,6.6912,88.1081,88.5276,88.3781,5.2612,4.6986,4.9307,6.698566666666667,0.07183385924014732,88.33793333333334,0.2126148709129639,4.9635,0.28273056078181563,0.9352150180484194,2.473794563870013,0.002642578617504149,0.2662764981943416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MBfR_79,,,2024-11-11 10:12:00,2024-11-12 09:40:00,,181.87361111111386,40432.5,40864.6,427.3468999999986,0.30351342329535314,4.8457,5.0057,4.9507,92.0376,92.0227,91.8209,3.1167,2.9716,3.2283,4.934033333333333,0.08129165598838144,91.96039999999999,0.12104003469927044,3.1055333333333337,0.1287138039735184,0.9802963602126435,2.5930419850786057,0.002769962148085347,0.2791121581160999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MBfR_80,,,2024-11-12 09:40:00,2024-11-13 10:20:00,,182.9013888888876,40864.6,41309.1,439.6105,0.29703412162278986,5.4618,5.3194,5.4745,91.5262,91.5216,91.6587,3.012,3.159,2.8668,5.418566666666667,0.08611529093798236,91.56883333333333,0.07786079458451826,3.0125999999999995,0.14610092402171854,0.9552843387110742,2.526881154009938,0.0026992872423951784,0.27199067977190305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,MBfR_81,,,2024-11-13 10:20:00,2024-11-14 12:30:00,10,183.9916666666686,41309.1,41779.1,464.83,0.2979679487170593,4.0642,4.0895,3.9794,93.2313,93.0891,93.1726,2.7045,2.8214,2.848,4.044366666666667,0.057667350670317155,93.16433333333333,0.07145952234190703,2.7912999999999997,0.07633852238549031,0.9749848494529996,2.5789921824240634,0.0027549537441470006,0.2775998529692568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,MBfR_82,,,2024-11-14 12:30:00,2024-11-15 10:30:00,,184.90833333333285,41779.1,42189.1,405.49,0.3071893939402067,3.8887,3.6393,3.8613,92.715,93.0559,93.07,3.3963,3.3047,3.0687,3.7964333333333333,0.13676934354354905,92.94696666666665,0.20101269445816364,3.2565666666666666,0.16902086656189322,1.0028132730935624,2.652602851408778,0.002833586781311927,0.2855232235891393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,MBfR_83,,,2024-11-15 10:30:00,2024-11-18 08:35:00,2,187.82847222222335,42189.1,43516.1,1312.403,0.31225386628581325,3.2193,3.1414,3.386,94.1672,94.0496,93.8048,2.6135,2.809,2.8092,3.2489000000000003,0.12495763282008834,94.0072,0.18488309819991366,2.7439,0.11292975692880951,1.0309736777691056,2.727091663776344,0.002913157876535722,0.293541116587037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,MBfR_84,,,2024-11-18 08:35:00,2024-11-19 11:29:00,32,188.94930555555766,43516.1,44061.4,539.3017000000028,0.3408986725660724,3.2172,3.1475,3.1514,94.7666,95.0183,94.7785,2.0162,1.8343,2.0701,3.1720333333333333,0.0391640566506246,94.85446666666667,0.14200853260749327,1.9735333333333334,0.12355461680298852,1.13569504765918,3.0040965776791215,0.0032090625054463392,0.3233576177362943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,MBfR_85,,,2024-11-19 11:29:00,2024-11-20 09:50:00,14,189.88055555555184,44061.4,44468.6,402.7207999999971,0.30348214016770225,3.6066,3.4891,3.4254,94.9203,95.0062,94.5704,1.4731,1.5047,2.0042,3.5070333333333337,0.09192150637001838,94.83229999999999,0.2308428253162729,1.6606666666666667,0.29792784920737686,1.0108065726799231,2.6737464180565707,0.0028561729483030217,0.2877990936102559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,MBfR_86,,,2024-11-20 09:50:00,2024-11-21 10:54:00,,190.9250000000029,44468.6,44954,480.06060000000144,0.3191892287213793,2.9599,2.8656,2.8811,95.5545,96.037,94.8321,1.4856,1.0974,2.2868,2.9022,0.05056708415560468,95.47453333333333,0.606417350785199,1.6232666666666666,0.6065329119951643,1.07032188844801,2.831174027507639,0.0030243416558489596,0.3047444265720028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,MBfR_87,,,2024-11-21 10:54:00,2024-11-22 09:55:00,8,191.8840277777781,44954,45365.3,406.77570000000287,0.29626780772112643,3.0754,3.166,3.0518,95.5016,95.6059,95.6814,1.423,1.2281,1.2668,3.0977333333333337,0.06028675918751415,95.5963,0.09028360870058365,1.3059666666666667,0.10318441419775247,0.9947276333473565,2.6312150301446198,0.002810739694503212,0.2832210622725112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,MBfR_88,,,2024-11-22 09:55:00,2024-11-25 10:20:00,12,194.9013888888876,45365.3,46681.6,1301.8206999999957,0.3004432725595881,2.2633,2.2489,2.3709,95.4619,96.9413,96.7674,2.2748,0.8098,0.8617,2.2943666666666664,0.06666973326280314,96.3902,0.8086197932279404,1.3154333333333332,0.8312410621073366,1.0171242309309614,2.6904576431077043,0.002874024360314915,0.28959787130673204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,MBfR_89,,,2024-11-25 10:20:00,2024-11-26 11:33:00,,195.95208333332994,46681.6,47119.9,433.4787000000029,0.28650277594241247,1.5184,1.1419,1.0682,98.2218,98.3417,98.4733,0.2598,0.5164,0.4585,1.2428333333333332,0.24147600985052994,98.34559999999999,0.12579534967557066,0.4115666666666667,0.1345843353935862,0.9896061916702402,2.6176679908696676,0.0027962683568904098,0.28176287401722117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,MBfR_90,,,2024-11-26 11:33:00,2024-11-27 11:51:00,,196.9645833333343,47119.9,47547,422.40189999999853,0.2897132373101353,1.9324,1.805,1.8395,97.8613,98.0885,95.8732,0.2063,0.1065,2.2909,1.8589666666666667,0.06589312053115508,97.27433333333333,1.2187230708136014,0.8679000000000001,1.2333640014205054,0.9897949586523586,2.618167309983658,0.002796801743952219,0.28181662017185205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,MBfR_92,,,2024-11-28 11:18:00,2024-11-29 15:43:00,,199.1256944444467,47590.1,48156.8,560.4663000000044,0.32871923753576165,2.8867,3.0628,2.7609,96.706,96.9372,97.2391,0.4073,0.0,0.0,2.9034666666666666,0.15164677158889134,96.96076666666666,0.2673302140300094,0.13576666666666667,0.23515476464093457,1.119437360413448,2.9610923727065392,0.0031631241748415824,0.3187286928954956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,MBfR_93,,,2024-11-29 15:43:00,2024-12-02 11:49:00,11,201.9631944444409,48156.8,49584.3,1411.7975,0.3464533742338414,3.5082,3.49,3.5644,95.9575,96.51,95.2766,0.5343,0.0,1.159,3.5208666666666666,0.0387836735409802,95.9147,0.6178128923873325,0.5644333333333333,0.580087289408528,1.1671014364200574,3.0871715414982157,0.003297805574998094,0.33229971453626633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,MBfR_94,,,2024-12-02 11:49:00,2024-12-03 09:38:00,,202.87222222222044,49584.3,50067.9,478.28039999999856,0.3653784568365644,4.4842,4.3314,4.3662,94.7198,94.8161,94.8692,0.7961,0.8526,0.7647,4.393933333333333,0.08008628679950985,94.80170000000003,0.07573381015108106,0.8044666666666668,0.04454327483844595,1.2165716669789128,3.218028280395834,0.0034375905131726688,0.34638498851482935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,MBfR_95,,,2024-12-03 09:38:00,2024-12-04 14:30:00,,204.0749999999971,50067.9,50696.6,621.7842999999971,0.35899786374167564,3.1232,3.0741,3.1306,96.0216,94.0512,96.1493,0.8551,2.8747,0.7201,3.1092999999999997,0.030707816594476352,95.40736666666668,1.1762090984741371,1.4832999999999998,1.206876845415471,1.2029633848467078,3.182032179271936,0.0033991384409865614,0.3425104081855209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,MBfR_96,,,2024-12-04 14:30:00,2024-12-05 11:24:00,10,204.9458333333314,50696.6,51113.2,412.01739999999853,0.331203697748823,4.7354,4.818,4.6592,94.6506,94.5325,93.0941,0.614,0.6495,2.2467,4.737533333333333,0.0794214916337718,94.0924,0.8665674064953057,1.1700666666666668,0.9325607558402473,1.0945317357680087,2.8952129784831193,0.0030927499080970608,0.3116375081006135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,MBfR_97,,,2024-12-05 11:24:00,2024-12-06 10:18:00,,205.90000000000146,51113.2,51602.3,483.71990000000574,0.3520523289652725,4.406,4.3198,4.3016,95.1289,95.139,95.0069,0.465,0.5412,0.6916,4.342466666666667,0.05576892802747182,95.09160000000001,0.07352598180235145,0.5659333333333333,0.1153069526669288,1.175785261289003,3.1101416588934914,0.00332234291611641,0.3347721924503411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,MBfR_98,,,2024-12-06 10:18:00,2024-12-09 10:46:00,10,208.9194444444438,51602.3,53124.4,1505.3568999999986,0.3470163439375401,1.1306,1.2905,1.3291,98.2837,98.1013,98.0923,0.5857,0.6082,0.5786,1.2500666666666667,0.10524591836899577,98.15910000000001,0.10800055555412748,0.5908333333333333,0.015453262870129813,1.1963524216811494,3.1645451154146533,0.0033804582556117937,0.34062812006199394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,MBfR_100,,,2024-12-10 10:17:00,2024-12-11 12:28:00,9,210.9902777777752,53673.9,54240.8,560.6641000000014,0.35893988476371363,4.039,3.9133,3.949,94.6495,94.6018,94.7893,1.3115,1.4849,1.2616,3.9671,0.06477522674603295,94.68020000000001,0.09744706255193028,1.3526666666666667,0.11720385374778995,1.1936019539381397,3.1572696846105632,0.0033726864308382997,0.33984500077405366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,MBfR_101,,,2024-12-11 12:28:00,2024-12-12 12:24:00,10,211.9875000000029,54240.8,54735.1,488.8626999999957,0.34282096774002935,4.2808,4.1181,4.1157,94.4383,94.5938,94.1761,1.2809,1.2882,1.7082,4.1715333333333335,0.09463531757929132,94.40273333333334,0.2111091265988574,1.4257666666666664,0.2446216738830271,1.1366600100984794,3.0066490589701718,0.003211789139492602,0.32363236398637263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,MBfR_102,,,2024-12-12 12:24:00,2024-12-13 10:24:00,,212.90416666666715,54735.1,55185.2,445.14889999999855,0.3372340151524063,3.7772,3.7593,3.7965,94.977,94.8272,94.9389,1.2458,1.4136,1.2646,3.7776666666666667,0.01860439016289788,94.91436666666668,0.0778551432683368,1.3079999999999998,0.09193410683745178,1.1241958115115296,2.9736792433530783,0.0031765698326652455,0.3200835296664772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,MBfR_103,,,2024-12-13 10:24:00,2024-12-16 11:24:00,20,215.9458333333314,55185.2,56742.8,1540.4664000000057,0.35331798165166045,3.6254,3.6578,3.6306,95.4567,95.6558,95.3257,0.9179,0.6864,1.0437,3.6379333333333332,0.017400383137544242,95.4794,0.1662166357498559,0.8826666666666667,0.18123703631800378,1.184824585661674,3.1340521298147506,0.0033478847699606224,0.33734588897311546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,MBfR_104,,,2024-12-16 11:24:00,2024-12-17 10:50:00,,216.92222222222335,56742.8,57257.7,509.2360999999942,0.36218783783669417,4.4181,4.2518,4.3532,94.6381,94.0224,95.1712,0.9438,1.7258,0.4755,4.341033333333333,0.08381493502552696,94.61056666666667,0.5748947063013625,1.0483666666666667,0.6316748873695499,1.2035167578440573,3.183495940103636,0.0034007020724745934,0.3426679657750441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,MBfR_105,,,2024-12-17 10:50:00,2024-12-18 11:06:00,,217.9333333333343,57257.7,57763.7,500.43399999999997,0.3437046703297253,4.0947,4.0954,4.073,95.2429,95.1397,95.331,0.6624,0.7648,0.596,4.0877,0.012735383779061738,95.23786666666668,0.09574927327835536,0.6744,0.08503740353514981,1.1496713993762226,3.041066282220976,0.0032485546088508012,0.32733699565573005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,MBfR_106,,,2024-12-18 11:06:00,2024-12-19 10:14:00,67,218.8972222222219,57763.7,58265.8,496.57690000000576,0.3759098410300575,3.9008,4.056,4.0173,93.285,95.2883,95.4197,2.8142,0.6557,0.563,3.9913666666666665,0.08078467263864689,94.66433333333335,1.1963431043531563,1.3442999999999998,1.273814283951943,1.2498235724915019,3.305984933687199,0.003531548344049041,0.35585254494549706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
